Esas No,Tarih,İl,Milletvekili,Muhatap Bakanlık,Durum,Önerge Özeti
7 / 43007,06.04.2026,Diyarbakır,Serhat EREN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Diyarbakır ilinde organize suç örgütleri ve çetelerle mücadeleye ilişkin
7 / 28784,28.05.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Çocuk gelişimi uzmanlarının sağlık meslek mensubu sayılması talebine ilişkin
7 / 42233,18.03.2026,İstanbul,Özgül SAKİ,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,16 Mart 2026 tarihinde bir sendika başkanının kullandığı bazı ifadeler sebebiyle tutuklanmasına ilişkin
7 / 18056,14.10.2024,Ağrı,Heval BOZDAĞ,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sayıştayın 2023 yılı Denetim Raporunda Ardahan Üniversitesi ile ilgili yaptığı bazı tespitlere ilişkin
7 / 1705,07.07.2023,Kars,Gülüstan KILIÇ KOÇYİĞİT,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,25 Haziran 2023 tarihinde İstanbul'da gerçekleştirilen yürüyüşte gözaltına alınarak geri gönderme merkezine gönderilen bir mülteciye ilişkin
7 / 36769,21.11.2025,İstanbul,İskender BAYHAN,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir petrol rafinerisinde norm kadro çalışması kapsamında personel sayısının düşürülmesinin iş güvenliğine etkisine ilişkin
7 / 41599,04.03.2026,İstanbul,Türkan ELÇİ,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Şiddet olaylarının önlenmesine yönelik yürütülen çalışmalara ilişkin
7 / 12883,05.06.2024,Şırnak,Mehmet Zeki İRMEZ,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir sendikaya üye olanlara ayrıcalık tanındığı iddiasına ilişkin
7 / 25286,06.03.2025,Şırnak,Nevroz UYSAL ASLAN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Şırnak'taki bir örgütle ilgili iddialara ilişkin
7 / 31246,10.07.2025,Afyonkarahisar,Hakan Şeref OLGUN,Tarım Ve Orman Bakanlığı,Cevaplandı,Tunceli ilinin Çemişgezek ilçesinde şap hastalığı ile mücadeleye ilişkin
7 / 14683,31.07.2024,İstanbul,Turan Taşkın ÖZER,Milli Eğitim Bakanlığı,Cevaplandı,2023'ten bu yana ölümle sonuçlanan iş kazalarına ilişkin
7 / 11134,17.04.2024,Muş,Sümeyye BOZ ÇAKI,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakırköy Kadın Kapalı Cezaevinde bulunan bir mahkumun sağlık sorunlarına ilişkin
7 / 22485,27.01.2025,Bolu,Türker ATEŞ,Kültür Ve Turizm Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,21 Ocak 2025 tarihinde Bolu Kartalkaya'da bulunan bir otelde meydana gelen yangına ilişkin
7 / 20876,19.12.2024,Antalya,Cavit ARI,Ticaret Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,İkinci el araç satışlarında satış işleminden önce trafik sigortası yaptırma zorunluluğuna ilişkin
7 / 37777,15.12.2025,Burdur,İzzet AKBULUT,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Burdur Mehmet Akif Ersoy Üniversitesi kampüsünde yapılan sondajlara ilişkin
7 / 2589,28.07.2023,Ankara,Aliye TİMİSİ ERSEVER,Ticaret Bakanlığı,Cevaplandı,Kadın istihdamının artırılması ve kadın-erkek fırsat eşitliğinin sağlanması konulu 27591 sayılı Genelge uyarınca yapılan çalışmalara ilişkin
7 / 7191,11.12.2023,Konya,Barış BEKTAŞ,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,2018 yılından bu yana Konya'da yabancılara satılan konut sayısına ilişkin
7 / 428,13.06.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Eşlerden ikisi de cezaevinde bulunan çocuklu bir çiftin denetimli serbestlik hükümlerinden yararlandırılması talebine ilişkin
7 / 10678,18.03.2024,Kocaeli,Nail ÇİLER,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Kocaeli Darıca Farabi Eğitim ve Araştırma Hastanesi ile ilgili çeşitli verilere ilişkin
7 / 9147,29.01.2024,Antalya,Uğur POYRAZ,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Tutuklanan bir polis memuruna ilişkin
7 / 7400,14.12.2023,Ağrı,Nejla DEMİR,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Türkiye Ormancılığı 2022 Raporu'na ilişkin
7 / 4642,21.09.2023,Amasya,Reşat KARAGÖZ,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,İlaçlara erişim sorununa ilişkin
